timestamp,pod,container,memory_bytes,phase
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,load_50tps
2026-08-05T21:23:16Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24494080,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13360230400,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,16031744,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6438912,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,18890752,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,10779271168,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,16449536,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6565888,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,2011381760,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13207064576,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,15179776,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,1761280,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,load_50tps
2026-08-05T21:23:49Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24358912,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13332717568,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,15917056,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6672384,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,18907136,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,10803122176,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15462400,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6561792,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,1973170176,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13221142528,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,15134720,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,1826816,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,load_50tps
2026-08-05T21:24:21Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24592384,load_50tps
2026-08-05T21:24:54Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13347487744,load_50tps
2026-08-05T21:24:54Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,15925248,load_50tps
2026-08-05T21:24:54Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6520832,load_50tps
2026-08-05T21:24:54Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,load_50tps
